repr,algo,k,eps,min_samples,silhouette,davies_bouldin,ari,latent_dim,hidden_channels,beta,epochs,batch_size,lr,audio_recon_weight,lyrics_recon_weight,spec_mels,spec_frames,lyrics_svd_dim,lyrics_max_features
hybrid_spec_mmvae,dbscan,,0.3,10.0,0.07105258107185364,1.0943228238249905,0.012364149736943428,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,dbscan,,0.3,20.0,,,0.0,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,dbscan,,0.4,5.0,-0.19266335666179657,1.287333312732326,0.03508761808308217,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,dbscan,,0.4,10.0,-0.03373910114169121,1.1976789245103023,0.025077057340935616,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,dbscan,,0.4,20.0,,,0.0,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,dbscan,,0.5,5.0,-0.17560240626335144,1.452611787206171,0.014206888052624789,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,dbscan,,0.5,10.0,-0.1304597109556198,1.5113603592719176,-0.0025382902967217573,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,dbscan,,0.5,20.0,-0.0695585161447525,1.6160293637595122,-0.021232683729629845,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,dbscan,,0.7,5.0,-0.07209967076778412,3.831242748916599,0.010610100688345097,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,dbscan,,0.7,10.0,-0.044601891189813614,4.437584196541179,-0.021976944338127528,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
