task,stage,repr,algo,k,eps,min_samples,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,purity,latent_dim,hidden_channels,beta,epochs,batch_size,lr,audio_recon_weight,lyrics_recon_weight,spec_mels,spec_frames,lyrics_svd_dim,lyrics_max_features
medium,final,hybrid_pca_baseline,dbscan,,0.2,20.0,,,,0.0,0.0,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,dbscan,,0.3,5.0,-0.08120162039995193,1.0898571748397679,8.994784932164366,0.028467641650892415,0.04208500419920832,0.6981697171381032,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,0.3,5.0,-0.18878509104251862,1.4924856594201752,142.93458927897774,0.19472315457709874,0.11899220196724103,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,0.3,5.0,0.06225168704986572,1.0582323626179284,8.601514104520698,0.0235560973640652,0.04181128237672897,0.6978369384359401,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,dbscan,,0.3,5.0,-0.02386779524385929,1.256280132690653,14.328696880469513,0.01878782468506716,0.02105718552795533,0.6941763727121464,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,dbscan,,0.3,10.0,0.07105258107185364,1.0943228238249905,12.79033799489801,0.012364149736943428,0.013427342480180475,0.6945091514143095,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,0.3,10.0,-0.19174116849899292,1.3847349924099746,174.96323328436117,0.22963591834741712,0.13763268698813222,0.697504159733777,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,0.3,10.0,0.06514815241098404,1.1172046067660595,13.278070800447354,0.013703261323427432,0.02142971821536843,0.6951747088186356,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,dbscan,,0.3,10.0,-0.02536090277135372,1.2360715377978,12.50228580913357,0.016271432132504062,0.018136984191530953,0.6941763727121464,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,dbscan,,0.3,20.0,,,,0.0,0.0,0.6931780366056572,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,0.3,20.0,-0.21087728440761566,1.3008734135669162,170.53332568011058,0.29832769789263475,0.15108731617287297,0.708153078202995,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,0.3,20.0,,,,0.0,0.0,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,dbscan,,0.3,20.0,,,,0.0,0.0,0.6931780366056572,,,,,,,,,64,256,256,20000
